CLIENTNUM,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
779471883,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.99028,0.00972
711525033,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0.00018134,0.99982
712813458,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,4.615100000000001e-05,0.99995
714374133,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0.99671,0.00329379
717891558,3298.0,2200,1098.0,0.6779999999999999,1052,32,0.6,0.667,0.00022797,0.99977
716632758,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,4.3568e-05,0.99996
768563658,4458.0,1880,2578.0,1.107,1424,29,1.4169999999999998,0.422,0.00019683,0.9998
711427458,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,5.6861e-05,0.99994
714091983,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0.00035539,0.99964
787584108,3436.0,2016,1420.0,0.901,1097,33,0.833,0.5870000000000001,0.00021834,0.99978
712030833,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0.99823,0.00177065
711481533,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0.00027604,0.99972
710082708,23957.0,2102,21855.0,0.997,1276,26,0.733,0.08800000000000001,0.00026824,0.99973
708155733,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0.00011065,0.99989
788979258,34516.0,1515,33001.0,0.5920000000000001,1293,32,0.6,0.044,0.00015398,0.99985
807986133,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0.00029411,0.99971
788730933,2084.0,1468,616.0,1.004,1132,28,0.556,0.7040000000000001,0.00031104,0.99969
711314058,1687.0,1107,580.0,1.715,1670,17,2.4,0.6559999999999999,0.00011382,0.99989
717975333,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0.00016471,0.99984
715971108,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0.00020077,0.9998
720096558,2216.0,1034,1182.0,0.758,1540,36,0.28600000000000003,0.467,0.00030251,0.9997
719580033,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0.00017969,0.99982
820582308,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0.00012082,0.99988
789973308,24312.0,1932,22380.0,1.3119999999999998,1341,24,1.182,0.079,0.00027607,0.99972
712876233,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0.00017987,0.99982
804595158,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0.00022797,0.99977
714826758,7038.0,1801,5237.0,0.7509999999999999,2339,57,0.966,0.256,0.00023192,0.99977
779058108,2536.0,1823,713.0,0.703,1468,23,0.353,0.7190000000000001,5.7151e-05,0.99994
710790258,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0.00017987,0.99982
715623483,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,8.3212e-05,0.99992
715156383,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0.00011743,0.99988
711013983,2158.0,0,2158.0,0.585,615,12,0.7140000000000001,0.0,0.99763,0.00236635
755420433,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0.00028395,0.99972
794543958,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0.00020404,0.9998
716396358,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,6.6354e-05,0.99993
715398033,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,6.6728e-05,0.99993
711743883,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0.00020424,0.9998
719720058,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0.00010943,0.99989
778992108,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0.00033251,0.99967
717539808,9930.0,0,9930.0,0.731,1276,21,1.3330000000000002,0.0,0.00011065,0.99989
714070758,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,6.765e-05,0.99993
714107958,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0.00034315,0.99966
789140283,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,0.0001125,0.99989
715550508,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,6.282e-05,0.99994
719712633,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0.00034315,0.99966
772629333,3454.0,1200,2254.0,0.597,1313,30,0.304,0.34700000000000003,0.00022556,0.99977
720336708,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0.00027008,0.99973
802013583,9689.0,2250,7439.0,0.5760000000000001,1158,19,0.727,0.232,4.2358e-05,0.99996
711887583,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,0.997,0.00299743
714778833,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,8.0901e-05,0.99992
713843283,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,0.00031177,0.99969
779155158,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,0.00011811,0.99988
721091583,3031.0,1879,1152.0,0.7879999999999999,1298,15,1.5,0.62,0.00030251,0.9997
713572683,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,6.6935e-05,0.99993
716657058,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,0.00037329,0.99963
779509983,34516.0,931,33585.0,0.828,1022,21,1.1,0.027000000000000003,6.4807e-05,0.99994
717929133,14450.0,2440,12010.0,1.283,1235,30,0.667,0.16899999999999998,0.00018475,0.99982
808284783,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,7.7559e-06,0.99999
708476808,33791.0,1960,31831.0,0.618,1047,31,0.8240000000000001,0.058,0.00020735,0.99979
710916408,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,6.9589e-05,0.99993
708492558,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,0.00034503,0.99965
799825758,3263.0,1674,1589.0,0.588,1251,35,0.34600000000000003,0.513,5.6153e-05,0.99994
718619883,1494.0,706,788.0,1.6740000000000002,1305,24,3.0,0.473,0.00010043,0.9999
711844758,13551.0,1294,12257.0,0.7909999999999999,1388,37,1.056,0.095,2.1081e-05,0.99998
714798783,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,0.00010684,0.99989
826762908,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,4.2354e-05,0.99996
771894558,9964.0,1559,8405.0,1.873,1626,25,0.7859999999999999,0.156,0.00015942,0.99984
721074183,24159.0,1196,22963.0,0.7120000000000001,1111,24,1.0,0.05,0.00032436,0.99968
715259583,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,0.0001861,0.99981
718414008,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03,0.00011382,0.99989
719666283,3174.0,1951,1223.0,0.7659999999999999,1243,29,0.611,0.615,2.7596e-05,0.99997
714877233,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,0.00010386,0.9999
785387883,3788.0,1540,2248.0,0.5660000000000001,1594,47,0.382,0.407,0.00030516,0.99969
771075258,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044,0.00015801,0.99984
711318033,2926.0,0,2926.0,0.6759999999999999,1304,24,0.846,0.0,0.00011811,0.99988
783554958,32090.0,0,32090.0,0.5670000000000001,1368,30,0.364,0.0,2.1307e-05,0.99998
720201033,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,0.99447,0.005529999999999999
718039683,13532.0,1300,12232.0,0.846,1521,29,1.4169999999999998,0.096,5.3542e-05,0.99995
710806083,11888.0,2090,9798.0,0.7,1137,30,0.765,0.17600000000000002,9.9255e-05,0.9999
714752208,2393.0,1985,408.0,0.7879999999999999,978,16,0.778,0.83,5.1697e-05,0.99995
822063408,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,6.3492e-05,0.99994
714490308,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,0.00020077,0.9998
713356833,3710.0,2517,1193.0,1.541,1578,34,0.7,0.6779999999999999,0.00014834,0.99985
711402333,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,0.00013405,0.99987
708296883,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,2.1081e-05,0.99998
719154483,7753.0,2100,5653.0,0.8390000000000001,991,26,0.733,0.271,0.00017486,0.99983
717721458,10408.0,1186,9222.0,1.689,2560,42,1.211,0.114,2.0715e-05,0.99998
711112683,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,0.0001747,0.99983
715674483,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,0.00013393,0.99987
789322833,8025.0,0,8025.0,0.654,673,18,0.8,0.0,0.99672,0.00328187
789968058,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,0.00019751,0.9998
709919283,14926.0,2517,12409.0,1.996,1576,25,1.5,0.16899999999999998,0.00018864,0.99981
718744008,6335.0,1128,5207.0,0.397,1217,20,0.667,0.17800000000000002,0.00017969,0.99982
767712558,14979.0,0,14979.0,0.71,530,10,1.0,0.0,0.99639,0.00360825
712950783,2732.0,0,2732.0,0.76,739,16,0.455,0.0,0.99518,0.00481999
716104983,2250.0,2117,133.0,1.162,1617,31,2.875,0.941,0.00017987,0.99982
818839983,10916.0,1536,9380.0,1.317,1592,34,1.0,0.141,4.1986e-05,0.99996
772288758,5349.0,1228,4121.0,0.728,1343,30,1.308,0.23,9.7154e-05,0.9999
712350858,9366.0,1104,8262.0,0.5720000000000001,1303,39,0.625,0.118,9.0056e-05,0.99991
711009708,21617.0,0,21617.0,1.047,1351,22,0.467,0.0,2.0494e-05,0.99998
712720158,13860.0,1652,12208.0,1.255,1910,32,1.909,0.119,0.00017969,0.99982
712215258,18386.0,0,18386.0,0.868,1298,22,0.5710000000000001,0.0,0.00016236,0.99984
773827008,2405.0,1540,865.0,0.469,1087,29,1.231,0.64,0.00012274,0.99988
795232683,2154.0,930,1224.0,2.121,1439,26,1.364,0.4320000000000001,0.0001747,0.99983
713786508,2038.0,0,2038.0,0.7859999999999999,1238,28,0.75,0.0,0.00034328,0.99966
713539833,8135.0,0,8135.0,1.3730000000000002,1716,29,0.812,0.0,9.4447e-05,0.99991
712454058,9364.0,618,8746.0,0.5539999999999999,1099,27,0.8,0.066,0.00012583,0.99987
718759833,32643.0,0,32643.0,1.3,1058,24,2.4290000000000003,0.0,0.00016711,0.99983
718803333,3195.0,1954,1241.0,0.971,1285,29,0.706,0.612,0.00011377,0.99989
720253908,2852.0,1024,1828.0,1.009,1651,28,1.0,0.359,5.726100000000001e-05,0.99994
714133158,4224.0,1305,2919.0,0.852,1152,31,0.8240000000000001,0.309,0.00027607,0.99972
713187033,20459.0,2071,18388.0,1.248,1767,38,2.167,0.101,0.00010985,0.99989
714791208,3482.0,2114,1368.0,0.508,1039,24,0.263,0.607,0.00038948,0.99961
772426383,3065.0,1570,1495.0,1.077,1130,28,1.3330000000000002,0.512,0.00020643,0.99979
710975883,2185.0,1761,424.0,0.682,1645,30,0.429,0.8059999999999999,5.8763e-05,0.99994
714264408,1611.0,746,865.0,0.993,1413,29,0.706,0.463,2.1676e-05,0.99998
715827858,2822.0,2173,649.0,1.456,1218,23,2.286,0.77,0.0003262,0.99967
713741358,32975.0,2517,30458.0,0.6579999999999999,597,17,0.7,0.076,0.99681,0.00319072
709531908,1438.3,0,1438.3,0.7759999999999999,2184,53,0.828,0.0,0.00011482,0.99989
716493408,15875.0,1719,14156.0,0.86,1592,37,1.467,0.108,0.0003262,0.99967
714141108,6703.0,893,5810.0,0.5670000000000001,1388,28,0.75,0.133,0.00027604,0.99972
708953883,3212.0,0,3212.0,0.713,757,20,0.25,0.0,0.98692,0.01308
712608783,34516.0,1260,33256.0,0.588,1504,34,0.789,0.037000000000000005,8.1371e-05,0.99992
820353558,9797.0,1434,8363.0,0.644,1503,34,0.478,0.146,5.5559e-05,0.99994
714964758,10400.0,1777,8623.0,0.7909999999999999,1105,28,0.867,0.171,0.00011751,0.99988
716264358,26792.0,1836,24956.0,1.432,2398,47,0.88,0.069,5.8763e-05,0.99994
717296808,3006.0,2517,489.0,2.053,1661,32,1.0,0.8370000000000001,0.00016883,0.99983
712977183,19482.0,1072,18410.0,0.706,1421,22,1.444,0.055,6.1645e-05,0.99994
710829108,3356.0,985,2371.0,0.35,999,28,0.556,0.294,0.00018475,0.99982
779562633,5771.0,2248,3523.0,1.791,1387,18,0.8,0.39,7.057600000000001e-05,0.99993
715315833,11106.0,2107,8999.0,0.948,1243,24,1.0,0.19,0.00019864,0.9998
815500983,2890.0,2001,889.0,1.334,1860,36,1.0,0.6920000000000001,6.4038e-05,0.99994
719360583,3380.0,1701,1679.0,0.747,1502,25,1.273,0.503,0.00010684,0.99989
709701558,21331.0,1251,20080.0,0.949,1460,50,1.083,0.059,5.7151e-05,0.99994
721148358,12860.0,0,12860.0,0.6459999999999999,1348,27,0.28600000000000003,0.0,7.3235e-05,0.99993
779862408,6278.0,462,5816.0,1.161,1087,33,0.941,0.07400000000000001,2.4806e-05,0.99998
812627208,1438.3,738,700.3,0.782,1226,33,0.5710000000000001,0.513,7.7286e-05,0.99992
711033408,9355.0,1626,7729.0,0.701,1230,28,0.867,0.174,5.3542e-05,0.99995
779956608,20758.0,0,20758.0,0.688,1555,32,0.684,0.0,0.000109,0.99989
780376683,14612.0,1976,12636.0,1.768,1827,24,3.0,0.135,0.00010182,0.9999
717912483,27259.0,0,27259.0,0.731,1376,35,0.591,0.0,4.4033e-05,0.99996
714454758,6347.0,1594,4753.0,0.8959999999999999,1771,37,0.762,0.251,0.00019864,0.9998
780466533,21592.0,1676,19916.0,1.097,1873,52,0.529,0.078,9.9638e-05,0.9999
715735233,3449.0,1598,1851.0,0.971,1679,42,0.556,0.463,4.0349e-05,0.99996
720476733,6028.0,799,5229.0,0.8190000000000001,1002,22,0.5710000000000001,0.133,5.5559e-05,0.99994
715872333,18214.0,1998,16216.0,0.8290000000000001,1344,21,1.1,0.11,0.0001597,0.99984
712375758,16393.0,1423,14970.0,1.642,1461,42,0.75,0.087,0.00011574,0.99988
708868233,1438.3,900,538.3,0.743,760,21,0.615,0.626,0.99338,0.00662
718030083,7871.0,1687,6184.0,1.242,1428,22,1.444,0.214,5.026100000000001e-05,0.99995
720707283,5288.0,866,4422.0,0.8690000000000001,1777,42,0.75,0.16399999999999998,7.6492e-05,0.99992
771698658,11376.0,2006,9370.0,0.619,1302,27,0.8,0.17600000000000002,0.00034882,0.99965
748326258,12302.0,1632,10670.0,1.509,1483,41,0.519,0.133,0.00034086,0.99966
770817783,34516.0,1679,32837.0,0.623,1060,27,0.5,0.049,6.5045e-05,0.99993
779353083,34516.0,1468,33048.0,0.505,1330,32,0.684,0.043,0.00010284,0.9999
711441333,10514.0,1580,8934.0,0.504,1229,27,0.8,0.15,9.3844e-05,0.99991
719808558,1438.3,0,1438.3,0.7070000000000001,886,27,0.421,0.0,0.99727,0.00272694
711551958,1438.3,0,1438.3,0.688,844,24,0.5,0.0,0.9972,0.00280059
809164083,2619.0,1779,840.0,1.259,1450,37,0.947,0.679,5.1697e-05,0.99995
820596183,24407.0,2395,22012.0,1.071,2311,48,0.7140000000000001,0.098,6.4511e-05,0.99994
715999608,2377.0,1649,728.0,0.93,1378,26,1.167,0.6940000000000001,5.3542e-05,0.99995
710565408,34516.0,1359,33157.0,1.327,1033,26,1.364,0.039,0.00016316,0.99984
805543158,11086.0,2207,8879.0,0.8690000000000001,1523,40,1.105,0.199,0.0003139,0.99969
709752183,11432.0,2517,8915.0,0.615,1374,37,0.762,0.22,0.00011482,0.99989
716479233,13258.0,1721,11537.0,0.908,1080,21,1.3330000000000002,0.13,0.00018339,0.99982
713837058,2571.0,1955,616.0,0.531,1234,24,0.7140000000000001,0.76,0.00018612,0.99981
718876683,5781.0,1168,4613.0,0.638,1600,32,0.455,0.202,4.4033e-05,0.99996
770746908,7872.0,2509,5363.0,0.971,1155,32,0.882,0.319,6.3492e-05,0.99994
794843883,34516.0,1202,33314.0,0.603,1353,33,0.737,0.035,5.5559e-05,0.99994
803043933,11127.0,1835,9292.0,2.3680000000000003,1546,25,1.273,0.165,8.9305e-05,0.99991
758076408,1857.0,1603,254.0,0.579,1590,43,1.263,0.863,0.00010183,0.9999
714606558,1913.0,1272,641.0,1.008,1448,22,1.0,0.665,1.9607e-05,0.99998
778425408,3839.0,2295,1544.0,0.569,1271,24,0.7140000000000001,0.598,6.9589e-05,0.99993
714171108,2115.0,1141,974.0,0.616,1223,20,0.5379999999999999,0.539,0.00019864,0.9998
719662458,1438.3,679,759.3,0.8590000000000001,1117,29,1.071,0.472,0.00011382,0.99989
713137233,27756.0,1789,25967.0,0.75,994,24,0.846,0.064,6.4505e-05,0.99994
769425858,1438.3,0,1438.3,0.81,1468,26,0.625,0.0,5.5564e-05,0.99994
711297483,13878.0,2222,11656.0,0.853,1658,38,0.35700000000000004,0.16,0.00020195,0.9998
788900883,3106.0,1304,1802.0,0.604,1368,38,0.407,0.42,9.2637e-05,0.99991
758348808,34516.0,1666,32850.0,0.613,1218,18,0.8,0.048,0.00030251,0.9997
772336458,1438.3,1025,413.3,0.838,702,12,0.7140000000000001,0.713,0.99717,0.00282527
708711483,18871.0,1740,17131.0,1.727,1516,21,2.0,0.092,7.293600000000001e-05,0.99993
717906783,5207.0,1748,3459.0,1.073,1310,26,1.0,0.336,0.00011751,0.99988
719437908,17965.0,1644,16321.0,0.921,1767,50,0.923,0.092,0.00013897,0.99986
769433508,2733.0,1819,914.0,0.767,933,25,0.923,0.6659999999999999,0.00027607,0.99972
790096533,8863.0,1301,7562.0,1.207,1512,27,1.455,0.147,0.00017488,0.99983
720997383,1857.0,1833,24.0,0.723,829,17,0.7,0.987,0.99659,0.00341249
787541883,34516.0,0,34516.0,0.483,1120,27,0.35,0.0,0.0003139,0.99969
709930758,11107.0,1222,9885.0,0.5379999999999999,1506,33,0.941,0.11,0.00031104,0.99969
789830058,21573.0,1585,19988.0,0.621,1384,36,2.273,0.073,6.3492e-05,0.99994
710299608,2859.0,2517,342.0,0.993,817,30,0.667,0.88,0.997,0.00299743
710741208,5269.0,1475,3794.0,1.148,2094,25,0.667,0.28,0.00011065,0.99989
821797008,1438.3,0,1438.3,0.7340000000000001,815,21,0.615,0.0,0.99482,0.00518
708874533,3387.0,0,3387.0,0.789,510,24,0.6,0.0,0.99432,0.005679999999999999
715341858,1982.0,1289,693.0,0.939,1377,49,0.69,0.65,0.00019143,0.99981
793636308,4645.0,1650,2995.0,0.912,1193,33,0.65,0.355,0.00012144,0.99988
713779908,2189.0,1666,523.0,0.343,1287,36,0.636,0.7609999999999999,0.00027008,0.99973
712125258,2442.0,0,2442.0,0.98,701,19,0.727,0.0,0.99677,0.00323086
709703433,21304.0,1532,19772.0,1.018,1770,25,0.923,0.07200000000000001,5.7151e-05,0.99994
721022433,7577.0,2480,5097.0,0.435,1409,35,0.16699999999999998,0.327,7.9702e-05,0.99992
710103558,3234.0,1486,1748.0,0.868,1354,28,0.647,0.459,6.724899999999999e-05,0.99993
715952883,4469.0,1125,3344.0,1.3630000000000002,1765,34,1.615,0.252,0.00015005,0.99985
719731458,2910.0,709,2201.0,0.5379999999999999,1192,27,0.588,0.244,0.00058851,0.99941
772390908,3616.0,1054,2562.0,0.616,687,17,0.545,0.29100000000000004,0.99673,0.00326713
787348608,3252.0,1495,1757.0,0.581,1227,15,0.875,0.46,0.0001597,0.99984
709485033,2358.0,1152,1206.0,0.969,1737,26,1.6,0.489,0.00029408,0.99971
715432608,22322.0,953,21369.0,0.769,1348,34,1.125,0.043,2.342e-05,0.99998
799471833,3133.0,1510,1623.0,0.609,1435,38,0.462,0.482,0.00010985,0.99989
714187533,3540.0,849,2691.0,0.456,1321,28,0.75,0.24,6.8225e-05,0.99993
779656908,6990.0,1378,5612.0,0.73,1479,29,0.611,0.197,0.00016883,0.99983
788950158,34516.0,1652,32864.0,0.8540000000000001,1283,39,1.294,0.048,0.00018612,0.99981
778867533,1438.3,0,1438.3,1.038,689,23,0.353,0.0,0.9925,0.0075
710620383,24396.0,1171,23225.0,0.655,965,17,1.125,0.048,0.00020735,0.99979
778661358,2474.0,2143,331.0,1.53,1541,40,1.0,0.866,0.00018558,0.99981
789483333,5214.0,795,4419.0,0.7070000000000001,1258,23,1.3,0.152,9.5249e-05,0.9999
809855808,5207.0,1650,3557.0,0.708,1339,20,0.5379999999999999,0.317,0.00011382,0.99989
718464258,9512.0,1082,8430.0,0.701,1007,22,1.444,0.114,0.00012982,0.99987
708528483,3187.0,2430,757.0,0.617,1387,33,1.357,0.762,0.00018864,0.99981
771809733,3353.0,0,3353.0,1.021,960,18,0.385,0.0,0.99605,0.00394582
719942883,2290.0,1434,856.0,0.923,1119,18,3.5,0.626,0.00031231,0.99969
807226683,5279.0,1115,4164.0,0.5489999999999999,1642,41,0.519,0.211,0.00010566,0.99989
717806133,23603.0,0,23603.0,0.795,1382,31,1.067,0.0,6.8225e-05,0.99993
720615708,2601.0,0,2601.0,0.8140000000000001,1232,32,0.684,0.0,0.00010043,0.9999
714511758,6363.0,1029,5334.0,0.838,1542,16,1.286,0.162,6.9589e-05,0.99993
715050408,8029.0,1576,6453.0,0.826,1094,32,0.524,0.196,0.00030516,0.99969
721132233,2410.0,1769,641.0,0.759,1217,30,1.143,0.7340000000000001,0.00012274,0.99988
719211558,3401.0,0,3401.0,0.898,744,18,1.0,0.0,0.98217,0.017830000000000002
712069008,2260.0,1007,1253.0,0.84,1614,33,0.737,0.446,4.5275e-05,0.99995
715996983,17682.0,2481,15201.0,1.3019999999999998,1747,31,1.214,0.14,0.00012274,0.99988
773466258,4206.0,1100,3106.0,0.5870000000000001,1144,22,1.0,0.262,9.4447e-05,0.99991
798983508,34516.0,1440,33076.0,1.117,1575,34,2.4,0.042,0.00015255,0.99985
719117433,23018.0,2168,20850.0,0.8590000000000001,1463,24,1.6669999999999998,0.094,6.765e-05,0.99993
716451183,5556.0,1711,3845.0,1.4340000000000002,1706,21,1.625,0.308,0.00018475,0.99982
718621608,6094.0,0,6094.0,1.129,909,14,0.273,0.0,0.99061,0.00939
715085733,2939.0,1999,940.0,2.145,2434,33,1.538,0.68,4.726300000000001e-05,0.99995
788977833,5362.0,1274,4088.0,1.015,1876,41,0.7829999999999999,0.238,1.7925e-05,0.99998
